dataset,k,nthreads,name,distance,sparsity,measure,value
tiny,3,4,SKL_KMplusplus,SQRL2,sparse,time,0.4280414581298828
tiny,3,4,SKL_KMplusplus,SQRL2,sparse,cost,45183136
tiny,3,4,MC_KMplusplus,SQRL2,sparse,time,0.09537577629089355
tiny,3,4,MC_KMplusplus,SQRL2,sparse,cost,41465038.86298263
tiny,3,4,MC_KMpp_and_LSpp,SQRL2,sparse,time,0.412886381149292
tiny,3,4,MC_KMplusplusLSpp,SQRL2,sparse,cost,38900446.83097016
tiny,3,4,MC_KM++,JSD,sparse,time,0.07503771781921387
tiny,3,4,MC_KM++,JSD,sparse,cost,7869.469047009945
tiny,3,4,MC_KMLS++,JSD,sparse,time,0.2992570400238037
tiny,3,4,MC_KMLS++,JSD,sparse,cost,7939.782623074949
tiny,3,4,MC_KM++,MKL,sparse,time,0.062306880950927734
tiny,3,4,MC_KM++,MKL,sparse,cost,43427.8880931437
tiny,3,4,MC_KMLS++,MKL,sparse,time,0.34667110443115234
tiny,3,4,MC_KMLS++,MKL,sparse,cost,41195.68171593547
tiny,3,4,MC_KM++,HELL,sparse,time,0.05869603157043457
tiny,3,4,MC_KM++,HELL,sparse,cost,21339.995440952443
tiny,3,4,MC_KMLS++,HELL,sparse,time,0.276111364364624
tiny,3,4,MC_KMLS++,HELL,sparse,cost,21005.842134783838
tiny,3,4,MC_KM++,BATMET,sparse,time,0.048758745193481445
tiny,3,4,MC_KM++,BATMET,sparse,cost,20943.69180100986
tiny,3,4,MC_KMLS++,BATMET,sparse,time,0.20974445343017578
tiny,3,4,MC_KMLS++,BATMET,sparse,cost,19595.551328015456
tiny,3,4,MC_KM++,BATDIST,sparse,time,0.058251380920410156
tiny,3,4,MC_KM++,BATDIST,sparse,cost,21917.787957538763
tiny,3,4,MC_KMLS++,BATDIST,sparse,time,0.2300257682800293
tiny,3,4,MC_KMLS++,BATDIST,sparse,cost,20141.391202756582
tiny,3,4,MC_KM++,RMKL,sparse,time,0.06578636169433594
tiny,3,4,MC_KM++,RMKL,sparse,cost,44608.72078084946
tiny,3,4,MC_KMLS++,RMKL,sparse,time,0.2967410087585449
tiny,3,4,MC_KMLS++,RMKL,sparse,cost,38256.03621542454
tiny,3,4,SKL_KMplusplus,SQRL2,dense,time,0.4135010242462158
tiny,3,4,SKL_KMplusplus,SQRL2,dense,cost,1450451.7239491323
tiny,3,4,MC_KMplusplus,SQRL2,dense,time,0.055228471755981445
tiny,3,4,MC_KMplusplus,SQRL2,dense,cost,37787884
