#args=Namespace(maxiter=25, mbsize=5000, msr=None, n_local_trials=1, ncheckins=5, prior=1.0, tol=1e-05)
#Name	k	SKLSparse_KMplusplus_time	SKLSparse_KMplusplus_cost	SKLDense_KMplusplus_time	SKLDENSE_KMplusplus_cost	nthreads_always_1
tiny	3	0.5955753326416016	50743236.0	0.08450698852539062	1535917.1417357554	1
tiny	10	1.809715986251831	36307368.0	0.16084909439086914	1339712.8230590543	1
tiny	25	3.795382499694824	33247346.0	0.3439633846282959	1269044.9981992426	1
tiny	50	6.515533685684204	31103242.0	0.6658017635345459	1244529.8825340266	1
tiny	100	13.281080722808838	29120248.0	1.4115679264068604	1193177.4929959457	1
PBMC	3	8.923689603805542	337180768.0	0.36871981620788574	4005162.0217257817	1
PBMC	10	29.673354864120483	267482624.0	1.079158067703247	3650181.543968528	1
PBMC	25	88.44164252281189	240847520.0	3.6441032886505127	3339419.019057429	1
PBMC	50	152.03400707244873	218668192.0	5.2075514793396	3291206.399123084	1
PBMC	100	300.7249188423157	212083088.0	10.594587326049805	3200368.141756722	1
Cao2m	3	394.7193856239319	6002466304.0	31.016072511672974	80351435.81229438	1
Cao2m	10	1304.668312549591	7015112704.0	97.2298321723938	72390244.11538927	1
Cao2m	25	3229.9808843135834	5335742976.0	247.0735890865326	70305746.21020934	1
Cao2m	50	6431.233894109726	5095872512.0	449.6025457382202	67252596.32728215	1
Cao2m	100	12627.865727901459	4879666176.0	912.4574489593506	64707732.27455645	1
Cao4m	3	1080.5730969905853	34142646272.0	55.446062326431274	210986077.07541835	1
Cao4m	10	3613.4089612960815	26773469184.0	177.42602968215942	234816515.8560568	1
Cao4m	25	10058.030907154083	20251629568.0	416.4378604888916	170495988.11970285	1
