#NumberSamples	NumFeat	K	MCTime_s	PCTime_s	MCCost	PCCost
50000	5	5	0.047952890396118164	0.09086918830871582	318528.7	378488.94
50000	5	25	0.18324637413024902	0.984905481338501	193189.56	196688.81
50000	5	50	0.7123594284057617	2.70251202583313	142313.61	150817.47
50000	50	5	0.06953048706054688	0.13633060455322266	4661219.0	4700343.0
50000	50	25	0.29047441482543945	2.2156596183776855	3795401.2	4114229.0
50000	50	50	0.5807280540466309	7.317006587982178	3624138.2	3797948.5
50000	500	5	0.11500000953674316	0.9879379272460938	48825816.0	49021708.0
50000	500	25	0.4428844451904297	26.629031896591187	46651080.0	46911850.0
50000	500	50	0.9012579917907715	108.23696660995483	44995210.0	46135336.0
50000	5000	5	0.5704197883605957	9.181161880493164	499335580.0	494419620.0
50000	5000	25	2.5663533210754395	264.5045759677887	489218270.0	487710980.0
50000	5000	50	4.935731649398804	1078.2823367118835	484041760.0	486677820.0
100	5	5	0.00026988983154296875	0.003437042236328125	916.46063	622.1777
100	5	25	0.00039076805114746094	0.005524635314941406	283.23514	236.42075
100	5	50	0.0012547969818115234	0.01822042465209961	106.481895	94.01414
100	50	5	0.00015282630920410156	0.0006549358367919922	8041.003	8637.257
100	50	25	0.0004241466522216797	0.007606983184814453	5516.674	5721.6577
100	50	50	0.0009133815765380859	0.026465654373168945	3452.9272	3446.4497
100	500	5	0.0002574920654296875	0.0013217926025390625	91929.91	90715.78
100	500	25	0.0008141994476318359	0.02580857276916504	69733.484	70552.98
100	500	50	0.0012767314910888672	0.10069942474365234	45100.867	44893.81
100	5000	5	0.0008320808410644531	0.007503032684326172	948671.94	944105.8
100	5000	25	0.003547191619873047	0.20235562324523926	731771.06	730475.06
100	5000	50	0.0050013065338134766	0.8184206485748291	484616.3	485708.56
10000	5	5	0.010411739349365234	0.017269611358642578	96172.07	71812.06
10000	5	25	0.07672476768493652	0.17518210411071777	39023.293	40900.406
10000	5	50	0.07164239883422852	0.5658271312713623	27229.854	28909.445
10000	50	5	0.008396387100219727	0.02554917335510254	976256.5	887591.8
10000	50	25	0.06155729293823242	0.37028074264526367	758374.56	820861.0
10000	50	50	0.10730838775634766	1.2967264652252197	720384.8	763091.8
10000	500	5	0.014142036437988281	0.18007135391235352	9997079.0	9656807.0
10000	500	25	0.09674954414367676	4.893371105194092	9255368.0	9205639.0
10000	500	50	0.2166597843170166	19.73903203010559	8969694.0	9202662.0
10000	5000	5	0.11379146575927734	1.8526263236999512	99372360.0	99386490.0
10000	5000	25	0.5221118927001953	53.06227469444275	96893440.0	98179920.0
10000	5000	50	1.0007660388946533	217.0463948249817	96131770.0	97105240.0
