#NumberSamples	NumFeat	K	MCTime_s	PCTime_s	MCCost	PCCost
50000	500	10	0.31271862983703613	18.054633617401123	47347316.0	47976300.884089045
50000	500	25	0.7804419994354248	118.77681064605713	45979764.0	46845483.79063601
50000	500	50	1.52577805519104	483.13808965682983	45224420.0	45983521.03203338
50000	500	100	2.6996805667877197	1763.2566986083984	44404416.0	45418880.76529838
50000	5000	10	2.766688108444214	160.05767107009888	492593984.0	494286135.1547279
50000	5000	25	6.571767330169678	1071.9710440635681	487879456.0	489568121.0310625
50000	5000	50	13.113009929656982	4429.720363140106	484212608.0	487685765.0992813
50000	5000	100	25.942185163497925	17626.947200775146	480818688.0	484679018.4243196
50000	50	10	0.04190826416015625	0.7763853073120117	4173274.0	4382225.433888334
50000	50	25	0.0909883975982666	4.312194347381592	3889105.25	4016779.4606502713
50000	50	50	0.18088030815124512	16.812076330184937	3622753.5	3765394.427830672
50000	50	100	0.3824615478515625	66.24930906295776	3383926.0	3616669.4595071315
50000	5	10	0.028713226318359375	0.2525653839111328	314170.4375	296744.3006654238
50000	5	25	0.07148981094360352	1.0181102752685547	202676.890625	207638.08128766905
50000	5	50	0.14708495140075684	3.2816872596740723	143465.46875	151338.0625670437
50000	5	100	0.2937469482421875	11.368887662887573	106141.8125	113433.4390133459
100	500	10	0.00039005279541015625	0.007069110870361328	85547.78125	86459.35279280388
100	500	25	0.0007920265197753906	0.04056668281555176	68854.6328125	69958.60241200276
100	500	50	0.0012600421905517578	0.15944862365722656	45122.9375	44705.55405627182
100	500	100	0.0018248558044433594	0.6383779048919678	0.0	0.0
100	5000	10	0.0027222633361816406	0.05508708953857422	888658.125	885976.7436466417
100	5000	25	0.006053924560546875	0.3543269634246826	732333.5	733284.631245822
100	5000	50	0.010222196578979492	1.4501752853393555	482898.375	482554.540692103
100	5000	100	0.012255668640136719	5.962254047393799	0.0	0.0
100	50	10	0.00013828277587890625	0.002380847930908203	7713.44140625	7816.583442636666
100	50	25	0.0002751350402832031	0.010233402252197266	5931.5986328125	6100.963509690751
100	50	50	0.00046443939208984375	0.03594851493835449	3543.7041015625	3509.784588704331
100	50	100	0.0007386207580566406	0.13339734077453613	0.0	0.0
100	5	10	0.00011944770812988281	0.0018146038055419922	557.6250610351562	532.0896009455365
100	5	25	0.00022792816162109375	0.006797075271606445	266.5777587890625	257.6271894248779
100	5	50	0.0003857612609863281	0.021991491317749023	115.58928680419922	101.66226377337878
100	5	100	0.0006544589996337891	0.0793294906616211	0.0	0.0
10000	500	10	0.04689836502075195	3.0514259338378906	9416189.0	9642296.676003315
10000	500	25	0.11531829833984375	19.9753897190094	9251236.0	9358603.777400192
10000	500	50	0.22006916999816895	80.89939951896667	8994901.0	9222593.71527034
10000	500	100	0.42676687240600586	325.4855315685272	8802176.0	8987777.827207454
10000	5000	10	0.5536470413208008	31.721214294433594	98436608.0	98601542.04686314
10000	5000	25	1.3085639476776123	209.79168319702148	97160984.0	97673913.01843351
10000	5000	50	2.5679192543029785	855.7474367618561	96524064.0	97133948.83538997
10000	5000	100	5.130367279052734	3726.957450389862	95445640.0	96227872.83121158
10000	50	10	0.007548332214355469	0.10486388206481934	852530.125	847238.5956412919
10000	50	25	0.017883777618408203	0.5117125511169434	766084.5	812173.6489939683
10000	50	50	0.03763580322265625	1.9109461307525635	709261.75	758372.0663479542
10000	50	100	0.07680797576904297	7.326288461685181	675515.125	715750.4831872764
10000	5	10	0.0062406063079833984	0.05580878257751465	55135.4921875	58588.35759318722
10000	5	25	0.015475749969482422	0.21544313430786133	38550.875	39494.18064974572
10000	5	50	0.029459714889526367	0.6717929840087891	27497.046875	29145.85386975675
10000	5	100	0.057470083236694336	2.3101046085357666	21231.31640625	21922.923869776605
